,Time,mV,ppb
0,03/07/24:12:54:46,318.918,577
1,03/07/24:12:54:47,317.248,574
2,03/07/24:12:54:48,315.707,571
3,03/07/24:12:54:49,314.14,568
4,03/07/24:12:54:50,312.709,565
5,03/07/24:12:54:51,311.268,562
6,03/07/24:12:54:52,309.931,559
7,03/07/24:12:54:53,308.68,557
8,03/07/24:12:54:54,307.419,554
9,03/07/24:12:54:55,306.208,552
10,03/07/24:12:54:57,305.097,550
11,03/07/24:12:54:58,303.952,547
12,03/07/24:12:54:59,302.875,545
13,03/07/24:12:55:00,301.843,543
14,03/07/24:12:55:01,301.009,542
15,03/07/24:12:55:02,300.271,540
16,03/07/24:12:55:03,299.215,538
17,03/07/24:12:55:04,298.253,536
18,03/07/24:12:55:05,297.282,534
19,03/07/24:12:55:06,296.327,532
20,03/07/24:12:55:07,295.499,530
21,03/07/24:12:55:08,294.667,529
22,03/07/24:12:55:09,293.886,527
23,03/07/24:12:55:10,293.098,526
24,03/07/24:12:55:11,292.319,524
25,03/07/24:12:55:12,291.57,523
26,03/07/24:12:55:13,290.833,521
27,03/07/24:12:55:14,290.137,520
28,03/07/24:12:55:15,289.66,519
29,03/07/24:12:55:16,289.188,518
30,03/07/24:12:55:17,288.467,516
31,03/07/24:12:55:18,287.706,515
32,03/07/24:12:55:19,287.062,514
33,03/07/24:12:55:20,286.403,512
34,03/07/24:12:55:21,285.754,511
35,03/07/24:12:55:22,285.113,510
36,03/07/24:12:55:24,284.503,509
37,03/07/24:12:55:25,283.916,507
38,03/07/24:12:55:26,283.377,506
39,03/07/24:12:55:27,282.857,505
40,03/07/24:12:55:28,282.339,504
41,03/07/24:12:55:29,281.84,503
42,03/07/24:12:55:30,281.317,502
43,03/07/24:12:55:31,280.815,501
44,03/07/24:12:55:32,280.349,500
45,03/07/24:12:55:33,280.184,500
46,03/07/24:12:55:34,279.878,499
47,03/07/24:12:55:35,279.248,498
48,03/07/24:12:55:36,278.693,497
49,03/07/24:12:55:37,278.247,496
50,03/07/24:12:55:38,277.772,495
51,03/07/24:12:55:39,277.313,494
52,03/07/24:12:55:40,276.914,493
53,03/07/24:12:55:41,276.456,492
54,03/07/24:12:55:42,276.055,492
55,03/07/24:12:55:43,275.701,491
56,03/07/24:12:55:44,275.271,490
57,03/07/24:12:55:45,274.896,489
58,03/07/24:12:55:46,274.494,488
59,03/07/24:12:55:48,274.088,488
60,03/07/24:12:55:49,273.711,487
61,03/07/24:12:55:50,273.363,486
62,03/07/24:12:55:51,273.141,486
63,03/07/24:12:55:52,272.938,485
64,03/07/24:12:55:53,272.48,484
65,03/07/24:12:55:54,272.076,484
66,03/07/24:12:55:55,271.695,483
67,03/07/24:12:55:56,271.352,482
68,03/07/24:12:55:57,271.015,482
69,03/07/24:12:55:58,270.703,481
70,03/07/24:12:55:59,270.411,480
71,03/07/24:12:56:00,270.128,480
72,03/07/24:12:56:01,269.869,479
73,03/07/24:12:56:02,269.564,479
74,03/07/24:12:56:03,269.279,478
75,03/07/24:12:56:04,269.007,478
76,03/07/24:12:56:05,268.729,477
77,03/07/24:12:56:06,268.47,476
78,03/07/24:12:56:07,268.21,476
79,03/07/24:12:56:08,268.153,476
80,03/07/24:12:56:09,268.101,476
81,03/07/24:12:56:10,267.733,475
82,03/07/24:12:56:11,267.374,474
83,03/07/24:12:56:13,267.058,474
84,03/07/24:12:56:14,266.79,473
85,03/07/24:12:56:15,266.504,473
86,03/07/24:12:56:16,266.25,472
87,03/07/24:12:56:17,265.995,471
88,03/07/24:12:56:18,265.759,471
89,03/07/24:12:56:19,265.56,471
90,03/07/24:12:56:20,265.339,470
91,03/07/24:12:56:21,265.129,470
92,03/07/24:12:56:22,264.909,469
93,03/07/24:12:56:23,264.671,469
94,03/07/24:12:56:24,264.49,468
95,03/07/24:12:56:25,264.598,469
96,03/07/24:12:56:26,264.568,469
97,03/07/24:12:56:27,264.286,468
98,03/07/24:12:56:28,264.029,468
99,03/07/24:12:56:29,263.812,467
100,03/07/24:12:56:30,263.637,467
101,03/07/24:12:56:31,263.461,466
102,03/07/24:12:56:32,263.309,466
103,03/07/24:12:56:33,263.176,466
104,03/07/24:12:56:34,263.033,466
105,03/07/24:12:56:35,262.917,465
106,03/07/24:12:56:36,262.78,465
107,03/07/24:12:56:37,262.674,465
108,03/07/24:12:56:38,262.554,465
109,03/07/24:12:56:39,262.437,464
110,03/07/24:12:56:40,262.319,464
111,03/07/24:12:56:41,262.207,464
112,03/07/24:12:56:42,262.31,464
113,03/07/24:12:56:44,262.449,464
114,03/07/24:12:56:45,262.295,464
115,03/07/24:12:56:46,262.144,464
116,03/07/24:12:56:47,262.014,464
117,03/07/24:12:56:48,261.892,463
118,03/07/24:12:56:49,261.734,463
119,03/07/24:12:56:50,261.621,463
120,03/07/24:12:56:51,261.539,463
121,03/07/24:12:56:52,261.441,462
122,03/07/24:12:56:53,261.353,462
123,03/07/24:12:56:54,261.277,462
124,03/07/24:12:56:55,261.181,462
125,03/07/24:12:56:56,261.067,462
126,03/07/24:12:56:57,260.938,461
127,03/07/24:12:56:58,260.818,461
128,03/07/24:12:56:59,261.019,462
129,03/07/24:12:57:00,260.905,461
130,03/07/24:12:57:01,260.767,461
131,03/07/24:12:57:02,260.634,461
132,03/07/24:12:57:03,260.497,460
133,03/07/24:12:57:04,260.387,460
